project_id,asset_id,project_name,asset_type,issue_type,district,corridor_or_location,latitude,longitude,condition,safety_risk,ada_accessibility_concern,equity_priority_area,community_concern_level,citizen_complaints_count,near_school,near_transit,crash_history_nearby,current_los,projected_los_no_build,expected_los_after_project,demand_growth_level,estimated_capital_cost,estimated_annual_om_cost,funding_gap,primary_funding_source,mtp_alignment,lrtp_alignment,complete_streets_alignment,vision_zero_alignment,ada_transition_plan_alignment,resilience_alignment,comp_plan_alignment,project_status,cip_phase,report_date,notes
CIP-0001,AST-00001,Crosswalk Improvement - Missing crosswalk (District 4),Crosswalk,Missing crosswalk,District 4,Sample Corridor 2,29.898109,-81.299953,Fair,Low,Yes,Yes,Medium,1,Yes,No,Yes,E,C,B,Medium,2100000,47228,150000,Impact Fees,Moderate,Weak,Weak,Moderate,Weak,Moderate,Moderate,Construction Ready,Mid-term 4-7 years,2025-07-15,Sample record for transportation CIP planning MVP.
CIP-0002,AST-00002,Bridge/Structure Improvement - Rail/guard issue (District 1),Bridge/Structure,Rail/guard issue,District 1,Sample Corridor 19,30.039728,-81.345729,Fair,Low,Yes,No,Medium,12,No,Yes,No,D,E,C,Low,1875000,19486,620000,Local CIP,Moderate,Moderate,Strong,Strong,Weak,Strong,Weak,ROW/Permitting,Short-term 1-3 years,2025-11-03,Sample record for transportation CIP planning MVP.
CIP-0003,AST-00003,Curb Ramp Improvement - Missing ramp (District 4),Curb Ramp,Missing ramp,District 4,Sample Corridor 22,29.899405,-81.293739,Poor,High,Yes,Yes,Medium,10,Yes,Yes,Yes,F,C,A,High,150000,2143,90000,Sales Tax,Strong,Moderate,Moderate,Strong,Weak,Moderate,Weak,Candidate,Mid-term 4-7 years,2026-03-28,Sample record for transportation CIP planning MVP.
CIP-0004,AST-00004,Curb Ramp Improvement - Not level (District 2),Curb Ramp,Not level,District 2,Sample Corridor 8,29.979474,-81.193291,Fair,Low,Yes,Yes,Low,8,No,Yes,No,C,F,B,Low,2375000,24430,590000,Sales Tax,Moderate,Moderate,Moderate,Weak,Weak,Moderate,Moderate,Construction Ready,Mid-term 4-7 years,2026-02-22,Sample record for transportation CIP planning MVP.
CIP-0005,AST-00005,Transit Stop Improvement - No sidewalk access (District 4),Transit Stop,No sidewalk access,District 4,Sample Corridor 26,30.019818,-81.338541,Fair,Medium,Yes,Yes,High,10,Yes,Yes,Yes,A,D,A,High,2200000,51506,180000,Unfunded,Moderate,Moderate,Strong,Strong,Moderate,Moderate,Weak,ROW/Permitting,Mid-term 4-7 years,2025-08-25,Sample record for transportation CIP planning MVP.
CIP-0006,AST-00006,Roadway Improvement - Rutting (District 1),Roadway,Rutting,District 1,Sample Corridor 4,30.067418,-81.242702,Fair,High,Yes,Yes,High,5,Yes,No,Yes,E,E,A,Medium,475000,6095,230000,MPO/TPO Funds,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Strong,Planning,Short-term 1-3 years,2025-10-04,Sample record for transportation CIP planning MVP.
CIP-0007,AST-00007,Transit Stop Improvement - No ADA pad (District 2),Transit Stop,No ADA pad,District 2,Sample Corridor 16,29.968891,-81.441886,Good,Medium,Yes,No,High,10,No,No,No,C,C,B,Low,1675000,31996,860000,MPO/TPO Funds,Moderate,Strong,Strong,Weak,Strong,Weak,Strong,Candidate,Mid-term 4-7 years,2025-04-28,Sample record for transportation CIP planning MVP.
CIP-0008,AST-00008,Bridge/Structure Improvement - Rail/guard issue (District 4),Bridge/Structure,Rail/guard issue,District 4,Sample Corridor 14,30.077284,-81.356895,Poor,High,No,No,Medium,1,No,Yes,Yes,B,F,B,Medium,575000,13153,300000,Sales Tax,Strong,Weak,Moderate,Weak,Strong,Moderate,Weak,Planning,Mid-term 4-7 years,2026-01-18,Sample record for transportation CIP planning MVP.
CIP-0009,AST-00009,Bridge/Structure Improvement - Rail/guard issue (District 1),Bridge/Structure,Rail/guard issue,District 1,Sample Corridor 7,29.953242,-81.382649,Fair,Medium,No,No,Low,5,No,No,No,E,F,B,Medium,825000,17081,20000,Unfunded,Moderate,Weak,Weak,Strong,Weak,Moderate,Strong,Construction Ready,Short-term 1-3 years,2025-11-12,Sample record for transportation CIP planning MVP.
CIP-0010,AST-00010,Transit Stop Improvement - Unsafe crossing access (District 1),Transit Stop,Unsafe crossing access,District 1,Sample Corridor 2,29.942124,-81.372463,Poor,Medium,Yes,No,High,10,No,No,No,B,E,D,Medium,1800000,52597,1290000,MPO/TPO Funds,Strong,Strong,Strong,Weak,Moderate,Strong,Strong,Planning,Mid-term 4-7 years,2026-02-24,Sample record for transportation CIP planning MVP.
